feature,coef
cat__Fylke_Finnmark,-1.2491
cat__Kommune_OSEN,-1.1194
cat__Kommune_HEMNES,1.0595
cat__Kommune_HERØY (MØRE OG ROMSDAL),-1.0446
txt__bier,-1.0306
cat__Kommune_VESTVÅGØY,-1.0293
cat__Kommune_HJARTDAL,0.9568
cat__Kommune_SØRFOLD,-0.9567
cat__Kommune_LEIRFJORD,0.9378
cat__Kommune_MODALEN,-0.9266
cat__Kommune_NESBYEN,-0.9252
cat__Kommune_NISSEDAL,-0.9022
cat__Kommune_MELHUS,0.8781
cat__Kommune_FLESBERG,0.8547
cat__Kommune_HAMMERFEST,0.8506
cat__Kommune_ÅMOT,-0.8502
cat__Kommune_ENEBAKK,0.8422
cat__Kommune_BRØNNØY,0.8356
cat__Kommune_FLAKSTAD,-0.8299
cat__Kommune_HADSEL,-0.8233
cat__Kommune_SAMNANGER,-0.791
cat__Kommune_SØRREISA,0.7864
cat__Kommune_BOKN,-0.7841
cat__Kommune_FEDJE,-0.7806
cat__Kommune_SANDE,-0.7737
