;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
"Agricultural area in use, total
农业用地总面积";9 839 920;9 843 834;9 846 497;9 845 167;9 859 618;9 842 540;9 862 802;9 851 116;9 836 608;9 860 355;9 867 679;9 871 428;9 928 634;9 989 187;10 059 857;10 142 874
Cultivated land  耕地;8 084 246;8 077 267;8 074 176;8 069 912;8 076 626;8 051 462;8 062 827;8 045 062;8 081 580;8 101 627;8 111 345;8 107 515;8 163 288;8 223 637;8 301 464;8 394 810
;;;;;;;;;;;;;;;;
Open fields and gardens  开阔的田野和花园;3 301 480;3 302 593;3 301 218;3 294 951;3 270 927;3 226 633;3 275 691;3 318 295;3 331 652;3 302 451;3 325 975;3 350 490;3 434 259;3 476 160;3 535 985;3 566 359
Grain and oil seeds  谷物和油籽;2 820 898;2 859 482;2 839 038;2 859 251;2 831 971;2 789 822;2 832 591;2 891 061;2 891 982;2 861 953;2 878 465;2 895 196;2 996 994;3 039 526;3 070 702;3 104 119
Wheat  小麦;591 841;645 788;753 547;635 927;676 697;803 508;586 531;757 546;667 687;857 572;791 699;548 392;669 825;738 901;720 820;815 997
Rye  黑麦;0;0;0;0;0;-;-;..;..;0;..;0;0;0;0;0
Triticale  小黑麦;57 303;87 733;106 411;83 121;65 250;93 125;33 292;83 691;45 587;104 130;60 947;30 144;14 761;52 805;67 595;71 221
Barley  大麦;1 455 419;1 419 733;1 313 202;1 427 448;1 392 224;1 304 954;1 479 510;1 348 568;1 375 559;1 232 916;1 265 055;1 593 871;1 565 346;1 479 746;1 461 800;1 363 385
Oats  燕麦;695 226;684 277;632 012;685 183;665 480;550 981;698 302;676 211;761 692;632 550;719 765;688 166;692 189;716 049;761 143;810 310
"Mixed grain and dry peas
混合谷物和干豌豆";0;0;0;0;0;-;-;..;..;0;..;0;0;0;0;0
Oil seeds  油籽;18 481;19 294;30 277;24 212;29 732;34 284;32 758;23 119;41 457;34 785;40 999;34 623;54 873;52 025;59 344;43 206
Potato  土豆;118 869;115 048;118 977;116 160;115 064;116 858;116 138;117 282;119 839;118 355;123 452;126 340;126 681;128 963;132 399;137 485
"Roots for feed, crops for green fodder and silage
根茎作物用作饲料，作物用作青贮饲料和青贮饲料";0;0;0;0;0;-;-;..;..;0;..;0;0;0;0;0
Green fodder and silage  青贮饲料和青贮饲料;90 153;81 985;90 078;94 257;95 106;108 558;110 507;95 820;90 729;99 648;112 783;122 053;105 190;102 117;119 319;119 761
Vegetables, field grown  田间种植的蔬菜;94 364;81 157;84 334;82 994;82 453;83 657;84 179;80 926;82 907;76 768;75 645;70 782;71 248;68 683;71 220;72 271
Strawberries  草莓;8 626;8 914;9 405;11 101;12 389;13 337;14 161;14 657;15 456;16 352;16 785;15 654;15 127;14 385;13 907;14 660
Other crops  其他作物;161 008;148 831;150 411;122 898;128 732;107 828;112 701;113 230;121 464;117 971;109 765;101 499;107 160;112 178;117 660;108 283
Fallow land  休耕地;7 562;7 176;7 230;6 485;5 212;6 573;5 414;5 319;9 275;11 404;9 080;18 966;11 859;10 196;10 778;9 780
"Meadows for mowing and pastures
可供割草的草地和牧场";6 538 440;6 541 241;6 545 279;6 550 216;6 588 688;6 615 904;6 587 111;6 532 821;6 504 956;6 557 904;6 541 704;6 520 938;6 494 375;6 513 139;6 523 872;6 576 515
Cultivated meadows  耕种草地;4 782 766;4 774 674;4 774 703;4 776 766;4 805 699;4 824 829;4 787 136;4 726 767;4 749 928;4 799 176;4 785 370;4 757 049;4 729 029;4 747 589;4 765 479;4 828 451
"Permanent grassland and surface cultivated land
永久草地和地表耕地";1 755 674;1 766 567;1 770 576;1 773 450;1 782 989;1 791 075;1 799 975;1 806 054;1 755 028;1 758 728;1 756 334;1 763 889;1 765 346;1 765 550;1 758 393;1 748 064
"Surfacecultivated meadows
地表耕作草甸";212 896;212 264;210 347;208 684;206 124;200 423;199 714;195 037;195 171;197 670;198 514;199 525;201 281;200 655;207 036;224 545
"Other infield pastureland
其他内场牧场";1 542 778;1 554 303;1 560 229;1 564 766;1 576 865;1 590 652;1 600 261;1 611 017;1 559 857;1 561 058;1 557 820;1 564 364;1 564 065;1 564 895;1 551 357;1 523 519
