Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","91.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","92.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","92.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","92.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","92.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","91.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","92.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","92.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","92.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","92.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","91.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","91.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","90.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","92.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","92","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","91.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","92.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","91.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","93.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","92.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","93.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","92.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","92.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","91.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","92","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","93.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","94","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","92.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","94","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","93.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","94.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","93.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","94","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","93.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","93.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","91.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","92.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","92.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","92.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","93.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","94","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","94.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","96.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","95.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","95.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","95.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","95.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","94","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","94.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","96.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","97","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","96.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","97.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","96.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","99.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","98.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","97.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","97.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","97.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","96.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","97.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","99.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","97.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","98.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","99.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","100.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","102.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","101.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","101.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","100.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","101.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","98.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","98.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","102.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","99","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","102","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","102.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","103.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","106.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","105","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","104.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","104.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","103.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","100.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","100.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","102.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","102","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","99.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","102.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","104","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","106.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","103.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","102.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","102.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","102.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","100.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","103.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","105.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","103.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","103.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","103.9","X","Figure from external organization","base year is 2015"
