;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Horses  马匹;28 468;28 883;29 503;28 531;29 029;30 019;31 154;32 946;34 387;35 625;36 712;36 424;36 340;34 452;33 117;31 694;29 930;27 203;26 592;26 400;26 136;25 595;26 526;26 524;26 993
Cattle, total  牛总数;987 915;978 854;958 661;956 916;943 208;933 698;922 976;905 515;891 170;878 134;874 529;864 139;861 924;853 655;840 000;853 327;872 145;885 292;881 991;874 136;882 961;899 712;898 286;874 216;852 817
Cows  奶牛;342 248;336 173;329 814;329 698;325 368;320 837;318 458;314 309;311 520;306 288;308 316;305 239;306 582;303 897;299 876;303 048;307 307;312 954;317 033;310 234;319 344;326 783;322 678;316 670;317 307
Dairy cows  奶牛;297 731;289 617;281 502;278 137;271 970;265 186;259 084;253 364;248 283;239 637;238 442;233 347;233 257;228 895;223 997;224 298;221 485;219 265;219 016;210 540;213 511;215 078;208 197;204 133;207 634
Beef cows  肉牛;44 517;46 556;48 312;51 561;53 398;55 651;59 374;60 945;63 237;66 651;69 874;71 892;73 325;75 002;75 879;78 750;85 822;93 689;98 017;99 694;105 833;111 705;114 481;112 537;109 673
Other cattle  其他牛;645 667;642 681;628 847;627 218;617 840;612 861;604 518;591 206;579 650;571 846;566 213;558 900;555 342;549 758;540 124;550 279;564 838;572 338;564 958;563 902;563 617;572 929;575 608;557 546;535 510
Sheep, total  绵羊总数;2 352 705;2 452 814;2 459 185;2 481 073;2 466 965;2 423 041;2 360 062;2 267 134;2 250 471;2 289 862;2 308 291;2 300 471;2 229 734;2 273 941;2 287 410;2 380 491;2 477 400;2 417 813;2 403 826;2 306 313;2 295 736;2 285 813;2 271 267;2 174 499;2 128 623
Sheep under 1 year  1岁以下的绵羊;1 386 427;1 452 663;1 467 495;1 494 434;1 500 457;1 468 303;1 431 576;1 372 651;1 352 587;1 382 299;1 385 772;1 380 048;1 324 128;1 362 484;1 401 311;1 462 150;1 522 804;1 477 499;1 447 437;1 405 387;1 393 011;1 369 658;1 345 203;1 273 608;1 251 567
"Sheep, 1 year and over
绵羊，1岁及以上";966 278;1 000 151;991 690;986 639;966 508;954 738;928 486;894 483;897 884;907 563;922 519;920 423;905 606;911 457;886 099;918 341;954 596;940 314;956 389;900 926;902 725;916 155;926 064;900 891;877 056
Goats, total  山羊总数;76 373;74 993;74 311;72 393;71 843;73 051;72 207;71 987;69 467;68 273;67 485;67 232;65 683;64 128;64 361;67 007;68 646;65 564;65 826;65 171;66 997;60 413;61 240;71 513;75 015
Dairy goats  奶山羊;50 299;48 467;46 786;45 692;45 095;44 532;42 365;41 161;38 853;37 959;36 650;35 476;35 154;33 064;31 515;33 702;34 982;33 913;34 462;34 278;33 695;33 714;33 513;32 571;32 374
Pigs, total  猪总数;730 390;710 788;751 415;790 717;825 548;824 237;836 426;837 892;828 243;845 019;850 383;854 334;855 704;851 058;842 484;848 813;854 005;851 998;815 377;786 121;768 211;816 962;734 797;730 005;709 581
Pigs for breeding, total  种猪总数;90 791;91 442;92 409;97 106;100 886;100 747;102 483;99 216;99 618;100 954;97 586;97 263;96 596;96 862;94 670;95 771;92 580;89 479;85 774;80 044;75 909;74 561;70 849;69 402;64 693
Other pigs  其他猪;639 599;619 346;659 006;693 611;724 662;723 490;733 943;738 676;728 625;744 065;752 797;757 071;759 108;754 196;747 814;753 042;761 425;762 519;729 603;706 077;692 302;742 401;663 948;660 603;644 888
Piglets  仔猪;255 093;247 451;245 654;267 791;280 622;275 323;283 931;271 588;274 545;286 420;289 446;283 322;280 918;280 949;275 080;275 694;281 891;267 396;259 943;248 981;244 485;248 064;235 372;236 231;224 351
Pigs for slaughtering  待屠宰生猪;384 506;371 895;413 352;425 820;444 040;448 167;450 012;467 088;454 080;457 645;463 351;473 749;478 190;473 247;472 734;477 348;479 534;495 123;469 660;457 096;447 817;494 337;428 576;424 372;420 537
Hens  母鸡;3 290 510;3 222 022;3 189 925;3 265 644;3 528 505;3 415 079;3 362 969;3 542 094;3 668 435;3 897 049;3 952 857;3 892 861;4 019 046;4 168 280;4 245 611;4 331 209;4 339 100;4 379 911;4 487 511;4 627 623;4 593 165;4 653 800;4 667 583;4 585 677;4 598 507
"Chicks bred for laying hens
为产蛋母鸡饲养的小鸡";1 188 732;..;1 014 436;1 205 364;1 410 701;1 298 468;1 318 784;1 386 641;1 280 137;1 444 847;966 783;1 195 664;1 062 483;1 473 988;1 540 794;1 551 612;1 553 532;..;1 253 855;999 651;1 224 760;1 217 834;939 675;1 162 714;1 301 570
Chicks for slaughtering  待屠宰的雏鸡;8 695 046;..;7 952 168;8 108 441;8 039 631;8 881 736;10 840 718;12 606 075;13 099 623;13 159 336;11 854 148;11 782 415;14 406 442;15 974 607;16 565 066;14 583 624;13 918 812;15 642 772;15 597 672;16 096 169;14 217 969;15 632 868;16 144 326;16 484 295;16 578 523
