;2025;2026;2027;2028
Gross domestic product  国内生产总值;0.2;1.1;1.0;-0.3
GDP Mainland Norway  挪威大陆 GDP;1.9;1.8;2.3;1.7
Employed persons  就业人员;0.7;0.6;0.5;0.5
"Unemployment rate (level)
失业率（水平）";4.5;4.3;4.1;4.1
"Wages per standard man-year
每标准工年工资";4.9;4.0;3.8;3.5
"Consumer price index (CPI)
消费者物价指数（CPI）";3.0;2.2;2.6;2.4
CPI-ATE;3.1;2.9;2.6;2.5
Housing prices  房价;4.5;3.6;4.7;4.0
"Money market rate (level)
货币市场利率（水平）";4.4;3.8;3.8;3.8
"Import-weighted NOK exchange rate (44 countries)
进口加权挪威克朗汇率（44个国家）";-0.7;-1.0;0.0;0.0
"1Forecasts for current and future years.
1对当前和未来几年的预测。";;;;
"2Percentage change from previous year unless otherwise noted.
2除非另有说明，百分比变化与上一年相比。";;;;
