Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2010","2010","6199","Value","3044","FAO Model","1000 No","214.49","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2011","2011","6199","Value","3044","FAO Model","1000 No","214.1","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2012","2012","6199","Value","3044","FAO Model","1000 No","211.93","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2013","2013","6199","Value","3044","FAO Model","1000 No","217.3","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2014","2014","6199","Value","3044","FAO Model","1000 No","220.56","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2015","2015","6199","Value","3044","FAO Model","1000 No","215.19","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2016","2016","6199","Value","3044","FAO Model","1000 No","203.59","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2017","2017","6199","Value","3044","FAO Model","1000 No","198.24","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2018","2018","6199","Value","3044","FAO Model","1000 No","211.08","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2019","2019","6199","Value","3044","FAO Model","1000 No","212.34","E","Estimated value","Modelled using ISIC shares"
