Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2010","2010","ha","1428","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2010","2010","kg/ha","8046.9","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2010","2010","t","11491","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2011","2011","ha","1401","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2011","2011","kg/ha","6045","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2011","2011","t","8469","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2012","2012","ha","1396","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2012","2012","kg/ha","7862.5","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2012","2012","t","10976","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2013","2013","ha","1402","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2013","2013","kg/ha","6967.9","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2013","2013","t","9769","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2014","2014","ha","1373","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2014","2014","kg/ha","9702.8","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2014","2014","t","13322","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2015","2015","ha","1373","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2015","2015","kg/ha","7866","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2015","2015","t","10800","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2016","2016","ha","1368","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2016","2016","kg/ha","9153.5","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2016","2016","t","12522","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2017","2017","ha","1378","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2017","2017","kg/ha","9187.5","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2017","2017","t","12664","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2018","2018","ha","1451","A","Official figure",""
