Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2010","2010","million SLC","1148134","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2010","2010","million USD","189957.37","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2010","2010","million USD","156865.11","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2011","2011","million SLC","1205122","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2011","2011","million USD","215023.45","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2011","2011","million USD","154351.6","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2012","2012","million SLC","1254127","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2012","2012","million USD","215578.34","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2012","2012","million USD","155416.88","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2013","2013","million SLC","1331246","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2013","2013","million USD","226595.06","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2013","2013","million USD","160866.5","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2014","2014","million SLC","1418071","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2014","2014","million USD","225031.1","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2014","2014","million USD","170916.81","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2015","2015","million SLC","1497290","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2015","2015","million USD","185672.01","A","Official figure","consolidated General Government"
