Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","0.2314","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","0.0521","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","0.2835","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","75.1275","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","75.1275","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","0.2025","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","0.0456","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","0.2481","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","65.7465","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","65.7465","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","0.212","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","0.0477","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","0.2597","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","68.8205","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","68.8205","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","0.1909","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","0.043","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","0.2339","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","61.9835","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","61.9835","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","0.2366","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","0.0532","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","0.2898","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","76.797","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","76.797","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","0.2561","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","0.0576","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","0.3137","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","83.1305","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","83.1305","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","0.2478","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","0.0558","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","0.3036","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","80.454","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","80.454","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","0.2473","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","0.0556","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","0.303","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","80.295","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","80.295","E","Estimated value",""
