;Cattle  牛;;;;"Sheep 1 year and over
1岁及以上的绵羊";Dairy goats  奶山羊;Pigs for breeding, total  种猪总数;Pigs for slaughtering  待屠宰生猪;Hens  母鸡
;Total  全部的;Cows, total  奶牛总数;Diary cows  奶牛;Beef cows  肉牛;;;;;
2014;57.7;22.5;24.6;15.4;61.7;109.4;80.8;235.3;2 101.8
2015;59.8;23.3;25.5;16.0;63.5;110.9;83.6;232.6;2 096.4
2016;61.9;23.9;26.1;16.8;65.3;115.5;83.0;227.3;2 100.2
2017;63.4;24.5;26.9;17.1;65.1;113.4;77.4;230.1;2 067.9
2018;64.3;25.2;27.9;17.4;66.2;118.4;76.8;226.7;2 041.6
2019;65.5;25.2;28.0;17.4;64.4;119.9;79.3;244.7;3 101.6
2020;67.7;26.6;29.9;18.0;65.4;119.9;79.5;253.4;3 056.0
2021;70.1;27.5;31.3;18.3;68.0;124.4;82.0;254.4;3 079.9
2022;71.2;27.6;31.3;18.8;68.2;126.5;80.8;252.3;3 324.5
2023;71.5;28.0;31.8;18.8;68.5;126.7;85.1;261.0;3 299.0
2024;71.8;28.9;33.5;18.7;68.0;129.5;81.2;265.7;3 301.2
County  县;;;;;;;;;
"Oslo and Viken (2020-2023)
奥斯陆和维肯（2020-2023）";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Innlandet  内陆;75.3;29.9;31.6;21.8;82.8;104.4;94.6;321.1;3 914.2
"Vestfold og Telemark (2020-2023)
西福尔德和泰勒马克 (2020-2023)";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Agder  阿格德;54.0;22.7;26.9;17.1;51.4;29.0;54.6;199.7;1 796.8
Rogaland  罗加兰郡;85.3;32.9;39.5;16.8;81.9;179.8;99.9;271.2;6 172.4
Vestland  韦斯特兰;48.3;20.8;25.3;11.8;49.7;110.6;41.1;130.2;1 009.3
Møre og Romsdal  莫尔和鲁姆斯达尔;69.5;28.3;32.5;15.9;53.7;173.8;22.9;189.3;1 530.5
Trøndelag - Trööndelage  特伦德拉格 - Trööndelage;84.2;33.1;37.2;20.6;84.3;66.2;86.8;285.9;4 904.8
Nordland - Nordlánnda  诺德兰 - Nordlánnda;77.1;30.1;34.7;18.4;92.2;148.7;80.8;262.7;1 355.8
"Troms og Finnmark - Romsa ja Finnmárku (2020-2023)
特罗姆瑟和芬马克 - 罗姆萨和芬马克（2020-2023）";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Agricultural area in use  农业用地;;;;;;;;;
- 49 decares  - 49 十卡雷;44.0;21.3;39.6;8.8;23.5;123.3;110.2;273.2;3 813.5
50 - 99 decares  50 - 99 十卡雷;23.5;11.3;20.4;7.6;37.4;70.1;49.5;157.2;1 249.8
100 - 199 decares  100 - 199 十卡雷;30.4;13.4;16.7;11.0;60.3;106.5;68.1;213.5;2 018.1
200 - 299 decares  200-299 十卡雷;45.7;19.1;21.4;15.0;90.0;140.5;68.3;232.3;2 883.2
300 - 499 decares  300 - 499 十卡雷;67.1;27.1;29.0;19.8;108.5;160.9;77.9;294.8;3 978.3
500 decares or more  500 decares 或更多;128.6;47.6;48.8;28.0;127.8;213.3;87.7;307.2;5 351.0
