Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2010","2010","°c","-2.02","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2011","2011","°c","1.23","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2012","2012","°c","1.776","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2013","2013","°c","0.99","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2014","2014","°c","0.459","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2015","2015","°c","2.295","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2016","2016","°c","-1.168","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2017","2017","°c","3.92","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2018","2018","°c","1.44","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2019","2019","°c","1.138","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2020","2020","°c","5.624","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2021","2021","°c","-0.471","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2022","2022","°c","3.408","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2023","2023","°c","3.638","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7001","January","2024","2024","°c","0.122","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2010","2010","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2011","2011","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2012","2012","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2013","2013","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2014","2014","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2015","2015","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2016","2016","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2017","2017","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2018","2018","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2019","2019","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2020","2020","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2021","2021","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2022","2022","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2023","2023","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7001","January","2024","2024","°c","2.191","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2010","2010","°c","-2.556","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2011","2011","°c","-0.702","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2012","2012","°c","1.467","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2013","2013","°c","1.773","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2014","2014","°c","6.357","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2015","2015","°c","4.591","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2016","2016","°c","3.293","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2017","2017","°c","3.194","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2018","2018","°c","-0.039","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2019","2019","°c","3.687","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2020","2020","°c","4.359","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2021","2021","°c","0.743","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2022","2022","°c","2.795","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2023","2023","°c","4.72","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7002","February","2024","2024","°c","2.708","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2010","2010","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2011","2011","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2012","2012","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2013","2013","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2014","2014","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2015","2015","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2016","2016","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2017","2017","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2018","2018","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2019","2019","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2020","2020","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2021","2021","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2022","2022","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2023","2023","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7002","February","2024","2024","°c","2.506","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2010","2010","°c","-0.134","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2011","2011","°c","1.426","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2012","2012","°c","4.388","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2013","2013","°c","-2.407","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2014","2014","°c","3.947","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2015","2015","°c","4.005","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2016","2016","°c","3.294","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2017","2017","°c","2.199","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2018","2018","°c","-2.129","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2019","2019","°c","1.335","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2020","2020","°c","2.462","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2021","2021","°c","2.984","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2022","2022","°c","3.876","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2023","2023","°c","-1.284","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7003","March","2024","2024","°c","3.075","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2010","2010","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2011","2011","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2012","2012","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2013","2013","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2014","2014","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2015","2015","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2016","2016","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2017","2017","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2018","2018","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2019","2019","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2020","2020","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2021","2021","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2022","2022","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2023","2023","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7003","March","2024","2024","°c","2.117","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2010","2010","°c","1.787","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2011","2011","°c","4.342","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2012","2012","°c","0.173","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2013","2013","°c","0.32","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2014","2014","°c","2.601","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2015","2015","°c","2.177","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2016","2016","°c","1.849","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2017","2017","°c","0.378","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2018","2018","°c","1.768","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2019","2019","°c","3.524","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2020","2020","°c","1.401","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2021","2021","°c","0.962","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2022","2022","°c","1.195","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2023","2023","°c","1.992","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7004","April","2024","2024","°c","0.725","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2010","2010","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2011","2011","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2012","2012","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2013","2013","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2014","2014","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2015","2015","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2016","2016","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2017","2017","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2018","2018","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2019","2019","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2020","2020","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2021","2021","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2022","2022","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2023","2023","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7004","April","2024","2024","°c","1.136","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2010","2010","°c","0.816","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2011","2011","°c","1.365","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2012","2012","°c","0.742","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2013","2013","°c","3.152","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2014","2014","°c","0.925","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2015","2015","°c","0.079","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2016","2016","°c","2.565","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2017","2017","°c","0.317","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2018","2018","°c","4.545","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2019","2019","°c","0.344","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2020","2020","°c","-0.688","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2021","2021","°c","0.317","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2022","2022","°c","1.054","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2023","2023","°c","1.275","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7005","May","2024","2024","°c","4.458","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2010","2010","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2011","2011","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2012","2012","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2013","2013","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2014","2014","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2015","2015","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2016","2016","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2017","2017","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2018","2018","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2019","2019","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2020","2020","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2021","2021","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2022","2022","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2023","2023","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7005","May","2024","2024","°c","1.246","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2010","2010","°c","-0.803","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2011","2011","°c","1.513","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2012","2012","°c","-1.105","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2013","2013","°c","1.448","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2014","2014","°c","0.176","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2015","2015","°c","-1.352","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2016","2016","°c","0.799","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2017","2017","°c","0.06","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2018","2018","°c","0.356","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2019","2019","°c","0.785","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2020","2020","°c","3.166","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2021","2021","°c","2.129","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2022","2022","°c","1.833","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2023","2023","°c","2.224","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7006","June","2024","2024","°c","1.774","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2010","2010","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2011","2011","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2012","2012","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2013","2013","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2014","2014","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2015","2015","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2016","2016","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2017","2017","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2018","2018","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2019","2019","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2020","2020","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2021","2021","°c","1.469","E","Estimated value"
