;Potato  土豆;"Meadows for mowing converted to dry matter
可割草的草地转化为干物质"
2024;3 128;692
;;
2024;;
Østfold  奥斯特福尔;3 794;1 001
Oslo and Akershus  奥斯陆和阿克什胡斯;3 112;950
Buskerud  布斯克吕郡;3 175;664
Innlandet  内陆;3 235;717
Vestfold  西福尔;2 993;803
Telemark  泰勒马克;:;576
Agder  阿格德;2 187;577
Rogaland  罗加兰郡;3 718;1 077
Vestland  韦斯特兰;2 660;593
Møre og Romsdal  莫尔和鲁姆斯达尔;1 412;623
Trøndelag - Trööndelage  特伦德拉格 - Trööndelage;3 028;695
Nordland - Nordlánnda  诺德兰 - Nordlánnda;:;526
"Troms - Romsa - Tromssa
特罗姆斯 - 罗马萨 - 特罗姆萨";2 318;377
"Finnmark - Finnmárku - Finmarkku
芬马克 - 芬马尔库 - 芬马尔库";:;435
